last_updated,location_name,country,latitude,longitude,temperature_celsius,feels_like_celsius,humidity,pressure_mb,wind_kph,precip_mm,cloud,uv_index,year,month,dayofyear,dow,sin_doy,cos_doy
2024-05-16 09:45:00+00:00,London,United Kingdom,51.52,-0.11,14.0,14.5,88,1005.0,4.0,0.025,50,3.0,2024,5,137,3,0.7067265555776158,-0.7074868024503349
2024-05-16 15:15:00+00:00,London,United Kingdom,51.52,-0.11,15.0,15.1,77,1005.0,11.2,0.01,50,3.0,2024,5,137,3,0.7067265555776158,-0.7074868024503349
2024-05-16 17:45:00+00:00,Tokyo,Japan,35.69,139.69,24.0,25.3,47,1001.0,33.1,0.0,25,2.5,2024,5,137,3,0.7067265555776158,-0.7074868024503349
2024-05-16 23:00:00+00:00,Tokyo,Japan,35.69,139.69,18.3,18.3,44,1005.0,19.1,0.0,0,1.0,2024,5,137,3,0.7067265555776158,-0.7074868024503349
2024-05-17 17:15:00+00:00,London,United Kingdom,51.52,-0.11,21.0,21.0,43,1010.0,6.1,0.025,0,4.0,2024,5,138,4,0.6944521021088763,-0.719538934232584
2024-05-18 01:00:00+00:00,Tokyo,Japan,35.69,139.69,18.0,18.0,77,1016.0,4.0,0.0,0,1.0,2024,5,139,5,0.6819721490904629,-0.7313781428679254
2024-05-18 15:30:00+00:00,London,United Kingdom,51.52,-0.11,18.0,18.0,68,1013.0,11.2,0.025,50,4.0,2024,5,139,5,0.6819721490904629,-0.7313781428679254
2024-05-18 23:30:00+00:00,Tokyo,Japan,35.69,139.69,20.0,20.0,78,1018.0,11.2,0.0,0,1.0,2024,5,139,5,0.6819721490904629,-0.7313781428679254
2024-05-19 15:15:00+00:00,London,United Kingdom,51.52,-0.11,22.0,24.1,46,1014.0,15.1,0.0,50,6.0,2024,5,140,6,0.6692903895412567,-0.7430009249440493
2024-05-19 23:00:00+00:00,Tokyo,Japan,35.69,139.69,19.2,19.2,76,1018.0,9.0,0.05,100,1.0,2024,5,140,6,0.6692903895412567,-0.7430009249440493
2024-05-20 15:45:00+00:00,London,United Kingdom,51.52,-0.11,20.0,20.0,40,1012.0,15.1,0.0,25,5.0,2024,5,141,0,0.6564105761979381,-0.7544038410927472
2024-05-20 23:45:00+00:00,Tokyo,Japan,35.69,139.69,20.0,20.0,78,1012.0,3.6,0.0,25,1.0,2024,5,141,0,0.6564105761979381,-0.7544038410927472
2024-05-21 15:45:00+00:00,London,United Kingdom,51.52,-0.11,14.0,14.5,94,1009.0,6.8,0.025,50,4.0,2024,5,142,1,0.6433365204044917,-0.765583517007675
2024-05-21 23:45:00+00:00,Tokyo,Japan,35.69,139.69,20.6,20.6,85,1019.0,16.9,0.01,100,1.0,2024,5,142,1,0.6433365204044917,-0.765583517007675
2024-05-22 15:15:00+00:00,London,United Kingdom,51.52,-0.11,14.0,12.7,94,1007.0,20.2,0.025,75,3.0,2024,5,143,2,0.6300720909843687,-0.7765366444428656
